repository_name,date,views,unique_visitors/cloners
authentication,2024-01-20,4,1
authentication,2024-01-21,4,2
authentication,2024-01-22,1,1
authentication,2024-01-29,1,1
authentication,2024-01-31,12,1
authentication,2024-02-01,7,1
authentication,2024-02-02,13,1
authentication,2024-02-05,104,4
authentication,2024-02-06,84,17
authentication,2024-02-07,183,11
authentication,2024-02-08,103,7
authentication,2024-02-09,71,6
authentication,2024-02-12,71,5
authentication,2024-02-13,137,12
authentication,2024-02-14,243,16
authentication,2024-02-15,94,11
authentication,2024-02-16,42,5
authentication,2024-02-17,23,1
authentication,2024-02-18,2,1
authentication,2024-02-19,153,14
authentication,2024-02-20,79,11
authentication,2024-02-21,141,11
authentication,2024-02-22,108,16
authentication,2024-02-23,179,26
authentication,2024-02-25,25,1
authentication,2024-02-26,230,12
authentication,2024-02-27,96,12
authentication,2024-02-28,110,10
authentication,2024-02-29,82,9
authentication,2024-03-01,4,2
authentication,2024-03-03,12,1
authentication,2024-03-04,43,2
authentication,2024-03-05,198,8
authentication,2024-03-06,38,4
authentication,2024-03-07,23,5
authentication,2024-03-08,27,2
authentication,2024-03-09,55,2
authentication,2024-03-11,41,2
authentication,2024-03-12,35,7
authentication,2024-03-13,30,5
authentication,2024-03-14,190,6
authentication,2024-03-15,14,3
authentication,2024-03-16,38,1
authentication,2024-03-17,71,1
authentication,2024-03-18,129,8
authentication,2024-03-19,79,7
authentication,2024-03-20,50,3
authentication,2024-03-21,46,3
authentication,2024-03-22,1,1
authentication,2024-03-24,19,2
authentication,2024-03-25,37,3
authentication,2024-03-26,177,11
authentication,2024-03-27,2,2
authentication,2024-03-28,138,8
authentication,2024-03-29,2,1
authentication,2024-03-30,2,1
authentication,2024-04-01,6,3
authentication,2024-04-02,3,2
authentication,2024-04-03,55,10
authentication,2024-04-04,45,5
authentication,2024-04-05,120,9
authentication,2024-04-06,2,1
authentication,2024-04-07,1,1
authentication,2024-04-08,170,6
authentication,2024-04-09,32,4
authentication,2024-04-10,110,13
authentication,2024-04-11,113,4
authentication,2024-04-12,3,1
authentication,2024-04-13,18,1
authentication,2024-04-15,38,3
authentication,2024-04-16,108,9
authentication,2024-04-17,116,13
authentication,2024-04-18,24,5
authentication,2024-04-19,5,2
authentication,2024-04-20,2,1
authentication,2024-04-22,45,6
authentication,2024-04-23,36,11
authentication,2024-04-24,17,3
authentication,2024-04-25,26,5
authentication,2024-04-26,26,5
authentication,2024-04-27,54,5
authentication,2024-04-28,34,2
authentication,2024-04-29,67,6
authentication,2024-04-30,79,15
authentication,2024-05-01,134,16
authentication,2024-05-02,152,15
authentication,2024-05-03,75,1
authentication,2024-05-06,64,7
authentication,2024-05-07,119,10
authentication,2024-05-08,138,5
authentication,2024-05-09,23,5
authentication,2024-05-10,41,7
authentication,2024-05-13,97,17
authentication,2024-05-14,293,12
authentication,2024-05-15,40,3
authentication,2024-05-16,12,5
authentication,2024-05-17,16,5
authentication,2024-05-20,52,2
authentication,2024-05-21,82,10
authentication,2024-05-22,12,3
authentication,2024-05-23,19,5
authentication,2024-05-24,35,3
authentication,2024-05-26,2,1
authentication,2024-05-27,11,2
authentication,2024-05-28,15,6
authentication,2024-05-29,21,3
authentication,2024-05-30,65,6
authentication,2024-05-31,11,7
authentication,2024-06-01,2,1
authentication,2024-06-02,2,1
authentication,2024-06-03,64,7
authentication,2024-06-04,274,19
authentication,2024-06-05,286,23
authentication,2024-06-06,231,13
authentication,2024-06-07,14,2
authentication,2024-06-10,16,3
authentication,2024-06-11,161,13
authentication,2024-06-12,184,12
authentication,2024-06-13,78,9
authentication,2024-06-14,252,14
authentication,2024-06-15,4,3
